ckey,machine_id,date,hour,connect_avg,connect_max,in_handover_rate,out_handover_rate,inter_handover_rate,lower_prb,upper_prb,reconfig_rate,Y
MA1074_4-20210901-0,MA1074_4,20210901,0,17.59888889,32.0,99.76303318,100.0,100.0,30.36145092,35.07290185,101.1578485,0.0
MA1074_4-20210901-1,MA1074_4,20210901,1,13.03944444,25.0,99.66101695,99.51690821,99.36708861,22.00954545,30.84556818,101.4837223,0.0
MA1074_4-20210901-2,MA1074_4,20210901,2,10.15388889,23.0,99.58333333,99.41176471,100.0,16.33318634,11.43183499,101.656051,0.0
MA1074_4-20210901-3,MA1074_4,20210901,3,8.746666667,19.0,100.0,100.0,100.0,10.25742532,6.105746799,102.5996534,0.0
MA1074_4-20210901-4,MA1074_4,20210901,4,9.346666667,21.0,100.0,100.0,100.0,24.04186344,16.66009957,106.9727891,0.0
MA1074_4-20210901-5,MA1074_4,20210901,5,10.00222222,24.0,99.50738916,100.0,100.0,8.597667141,6.637297297,112.0772947,0.0
MA1074_4-20210901-6,MA1074_4,20210901,6,16.60777778,36.0,99.65197216,100.0,100.0,17.52534851,12.98503556,117.3095468,0.0
MA1074_4-20210901-7,MA1074_4,20210901,7,20.61888889,50.0,99.86648865,100.0,100.0,21.04732575,17.97802276,112.1627907,0.0
MA1074_4-20210901-8,MA1074_4,20210901,8,24.32166667,48.0,99.73544974,100.0,100.0,25.3084495,23.43009957,105.8141141,0.0
MA1074_4-20210901-9,MA1074_4,20210901,9,17.55277778,33.0,99.87341772,99.79466119,100.0,20.1874858,18.30822443,103.9196941,0.0
MA1074_4-20210901-10,MA1074_4,20210901,10,18.74,32.0,99.19614148,100.0,100.0,23.54209104,21.01294452,102.2226926,0.0
MA1074_4-20210901-11,MA1074_4,20210901,11,15.74944444,29.0,99.3877551,100.0,100.0,16.93136558,18.14837838,102.1703744,0.0
MA1074_4-20210901-12,MA1074_4,20210901,12,14.26611111,27.0,100.0,100.0,100.0,15.25970128,15.8757468,101.2944984,0.0
MA1074_4-20210901-13,MA1074_4,20210901,13,16.91555556,32.0,99.27404719,99.28571429,100.0,17.65308677,17.16495021,101.9776301,0.0
MA1074_4-20210901-14,MA1074_4,20210901,14,14.86722222,26.0,99.62825279,99.75550122,100.0,15.31955903,14.76523471,101.6498137,0.0
MA1074_4-20210901-15,MA1074_4,20210901,15,14.835,27.0,99.79591837,100.0,99.59839357,15.40906117,14.18325747,101.3167891,0.0
MA1074_4-20210901-16,MA1074_4,20210901,16,15.88555556,32.0,99.44852941,100.0,99.68652038,18.13985775,16.16065434,100.4873914,0.0
MA1074_4-20210901-17,MA1074_4,20210901,17,17.01,30.0,99.37791602,100.0,100.0,25.32227273,17.24801136,98.98468422,0.0
MA1074_4-20210901-18,MA1074_4,20210901,18,20.66166667,44.0,99.52904239,99.86449864,100.0,34.90146515,28.87337127,97.15515916,0.0
MA1074_4-20210901-19,MA1074_4,20210901,19,19.32444444,32.0,98.42931937,99.72144847,99.66666667,33.53504979,21.89401138,96.69055971,0.0
MA1074_4-20210901-20,MA1074_4,20210901,20,20.165,33.0,99.81481481,100.0,100.0,39.77644381,27.09746799,96.51621385,0.0
MA1074_4-20210901-21,MA1074_4,20210901,21,18.98,39.0,99.81949458,100.0,100.0,35.79165007,26.81065434,96.58662433,0.0
MA1074_4-20210901-22,MA1074_4,20210901,22,23.81666667,36.0,98.48229342,100.0,100.0,30.59051209,27.07802276,98.3683669,1.0
MA1074_4-20210901-23,MA1074_4,20210901,23,21.14666667,41.0,99.69879518,100.0,99.76580796,33.62679943,20.99897582,101.9274978,0.0
MA1074_4-20210902-0,MA1074_4,20210902,0,17.30111111,34.0,99.44237918,100.0,100.0,26.58526316,13.26788051,103.1257514,0.0
MA1074_4-20210902-1,MA1074_4,20210902,1,12.48388889,24.0,67.74891775,100.0,100.0,23.96745739,11.7012358,103.0930843,0.0
